UserName,ScreenName,user_retweets,user_tweets,authenticity
Betty,missb62,2,2038443,0.9999990188590017
yuuji,yuuji_K1,1,1643867,0.9999993916782806
Global News Report,robinsnewswire,1,1378181,0.9999992744059016
Phil De Carolis,PhilDeCarolis,4,1254809,0.9999968122638585
Security Testing,sectest9,1,1162581,0.9999991398448796
George Kurian,GeorgekurianINC,33,1107791,0.9999702109874516
Constance Masters,constancefic,1,1099126,0.9999990901862025
Raimo Kangasniemi,rk70534,1,983686,0.9999989834154395
Punto,libertad717,1,939088,0.9999989351370692
Rohit Kumar Agarwal,rohitagarwal86,11,893881,0.9999876941114085
Matt Murphy,MattMurph24,1,867596,0.9999988473897989
Alamgir Rizvi,alamgirizvi,5,863763,0.999994211375111
Kaye Menner FineArt,KMennerFineArt,1,843360,0.9999988142667425
InnovativeHindu 🇮🇳,InnovativeHindu,7,838197,0.9999916487412863
चौधरी साब,dcchoudhary197,5,749046,0.999993324842533
Coopmike48,coopmike48,1,746616,0.9999986606233995
#PrayagRaj,prayag,7,740927,0.9999905523756052
Dhiraj,AAPlogical,4,724570,0.9999944794843838
Edinburgh Watch,EdinburghWatch,1,706490,0.9999985845517984
Parth Parikh,ParthPa07241800,4,704753,0.9999943242526105
🚩🚩 जयहिंद श्रीराम.15018 🚩🚩   ✋मुक्त ..O+,mithu796311,11,696781,0.9999842131171774
Baarah Kuriyah 🎈❓,BaarahK,1,693979,0.9999985590342071
#ModiFor2019,ibhagwa_n,4,685234,0.9999941625780391
S B Singh,SureshM46,1,681699,0.9999985330769152
PERUMAL PILLAI N,56perumal,4,657800,0.9999939191243539
V K SHARMA,VictoryForNamo,6,653700,0.9999908214777421
siena,InsdataInter,1,648525,0.9999984580393971
🚩🕉️ अरुण वाजपेयी #राजन 🕉️🚩,ArunbajpaiRajan,1,635320,0.9999984259900523
Dhruv Bhimrajka,dhruvbhim,8,634065,0.9999873829970114
Virdi Chand sharma,Virdisharma,1,632173,0.9999984181545242
Debashish Sarkar,DebashishHiTs,4,623310,0.9999935826474787
मुस्कुराते रहिये,upma23,2,605230,0.9999966954711432
RIDE ON,pavan_sethi,14,592422,0.9999763681969948
Lady Patriot,lynn_weiser,1,586694,0.999998295533958
ॐ भारत ॐ,_dharam_vir,9,582974,0.9999845619187133
jspandey,jspandey_,5,578474,0.9999913565691803
iksha,jigyasa203,8,577006,0.9999861353261491
Raj,rajkshroff,10,572663,0.9999825377228841
India Today,IndiaToday,7,569105,0.9999876999850643
Harbir Singh Suri,HarbirSinghSuri,2,565947,0.9999964661001826
Jan Ward,wardj15,1,557435,0.999998206068869
#RafaleScam Anugrah,BreakiNews,9,555501,0.9999837984090038
Dr. Roy Schestowitz (罗伊),schestowitz,1,555471,0.9999981997259983
KCAggarwal,atlantesindia,3,550487,0.9999945502800248
Dr Farhan K Virk,FarhanKVirk,2,548620,0.9999963544894462
akhil agrwal (चाय वाला),agrwal_akhil,7,543718,0.9999871256791204
Deep State Seahawk,word_34,1,543465,0.9999981599551029
Mohsin Alvi,mohsinmalvi19,1,543127,0.9999981588100021
shanmuga Pillai,shanmugam_18,7,541379,0.9999870700562822
Amol Tikam,AmolTikam,11,541272,0.9999796775004065
