ScreenName,UserName,bet_centrality
rwac48,Lt Gen H S Panag(R),12946471.020184143
alfonslopeztena,Alfons López Tena #FBPE,12646917.478224093
PiyushGoyalOffc,Piyush Goyal Office,11576417.963089995
GeorgekurianINC,George Kurian,9584618.058920356
vogul1960,Imtiaz Gul,8074347.769229215
AnaMyID,Divya (Anamika's sister),7635722.122347757
Imdineshpurohit,Dinesh Purohit,7453951.062274876
gauravbjp4india,Gaurav Mahajan,7220193.488964617
Shehzad_Ind,Shehzad Jai Hind,6805119.718803373
narendramodi,Narendra Modi,6719167.914704832
Hamara_Desh,Murari Goyal,6560657.661055704
iAadiRaj,INDIAN ARMY,6145389.488568317
tinucherian,Tinu Cherian Abraham,5448280.011418602
BillionIndian,HumHindustani,5388641.939765129
CongressDahan,#CongressMuktBharat,5323962.518082969
DilliDurAst,Shivam Vij,5320834.594441202
Rishi_130,🇮🇳 Rishi Kant 🚩,5247921.813471285
saileenas,Saileena,4448554.222144926
TheSameerGupta,Sameer Gupta - Bad Hindu,4431513.396215039
RSFBLB,Ravindra Fauzdar -16K,4418043.190368423
KanchanGupta,Kanchan Gupta,4370428.602302016
56perumal,PERUMAL PILLAI N,4112091.3360599587
KaptanHindustan,Gautam Trivedi,3998955.414360056
INCIndia,Congress,3995066.4396482557
MaryamNSharif,Maryam Nawaz Sharif,3892636.157894549
Drsunandambal,Dr Sunanda Bal,3874463.1072034067
ModiVolunteer,शैलजा #ModiVolunteer,3865833.249189741
viren56002,Virendra,3776595.5859236703
_NAN_DINI,Nandini,3587598.3392358627
cutepoojaag,pooja agrawal,3501602.939184497
samarjeet_n,SAMARJEET NARAYAN,3379480.5935183857
VandanaJayrajan,ѵαɳ∂αɳα🇮🇳,3359506.0328035285
StaunchInsafian,sтαυηcн ιηsαғιαη,3266018.560189064
Naveen_Kr_Shahi,NKS🙈🙉🙊,3221081.901495023
laxman_xy,Laxman☺☮,3219839.4514267095
VictoryForNamo,V K SHARMA,3172390.747120252
SenRehmanMalik,Senator Rehman Malik,3141230.010559063
JhaSanjay,Sanjay Jha,3138367.0139039
NeerajMohan10,Neeraj Mohan,3016143.314876384
advrayadav,RAM AWADH YADAV,3008871.363214379
Luv_Datta,Luv ™#INC 🇮🇳,2996063.8107581385
ammarawrites,Ammara Ahmad,2994821.1173649337
Kavita_M57,KavitaM,2952662.2542861504
harishjharia,Harish Jharia Author,2941999.40568644
vikramwkarve,Vikram Waman Karve,2907332.2767623183
hindustanse,Dr N Patel,2829378.312024364
prettypadmaja,Padmaja,2779108.811812831
SauravDatta29,Saurav Datta,2724405.7234878093
TajinderBagga,Tajinder Pal Singh Bagga,2689017.8434035955
yashrajgur,राजगुरु,2675563.307157179
