ScreenName,UserName,bet_centrality
nehasamee11,Neha Samee,181157.01080770965
Mausam1975,Mausam,158282.53313810384
ChhabraGeeta,Geeta Chhabra,158039.11279561112
Swamy39,Subramanian Swamy,119358.14940794496
kailashkaushik8,Kailash Kaushik,65529.481634340096
LegalKant,रवि कांत,61817.97594962211
AnthonySald,Anthony Saldanha,55102.18755019526
YourGalNeha,Neha,49765.501964856296
kiran_patniak,kiran patnaik,44849.16507936507
NJCP_INDIA,Ashwin Mane. 🇮🇳,42117.61101007564
colkt,Col A K Tiwari🇮🇳🚩,37867.85040279771
alamgirizvi,Alamgir Rizvi,36856.53407148415
geetv79,Geet V,34964.802454490244
VazeIndian,परवेज़ M,33813.34082861577
AnilJ_Modi19,ANIL J 🇮🇳,29594.00722284945
Tamil1947,tamil,29114.935945998255
gujjar_chhora,GUJJAR BOY😘 (INC) 🇮🇳,27980.441193529055
pathan_modassar,I'm Tipu Sultan,25278.340873015844
jyotsnavarma9,Jyotsna Varma,25220.525917354702
brainjal,A/Jha,23237.54594182167
Thelullz,The Liebrand™ 8-10 PM Phd in African Studies,22852.09375208118
IndiaToday,India Today,22177.566469641533
JaganNKaushik,JN Kaushik,21063.09281172862
Speakwithsence1,Speakwithsense,16764.115476190585
umedmehta45,UMED MEHTA,16473.369155844175
Praveenstories,Praveen,15563.73334258342
DPBigBang,धैर्य,15522.135515873015
Tharoorian_INC,INC-Tharoorian,15491.299565376872
SanjayA32520675,Sanjay A,14829.566113242614
Vi_LI_In,योगी वाणी,14647.881941669431
AjaySengupta3,Ajay Sengupta,14479.375006937593
KPadmaRani1,Padma Rani INDIAN,13593.641219891248
sn_ojha,Dr S N Ojha,13236.714301621028
ashvinn15,Ashwin,13187.048034645017
Kanwal33,Kanwal Singh,12874.642146089252
CongressDahan,#CongressMuktBharat,12643.158658008659
DilliDurAst,Shivam Vij,12034.555488955462
Mayavi101,Dr Luttapi,11132.509870684888
IndianExpress,The Indian Express,9777.424242424244
MehrTarar,Mehr Tarar,9733.201984126976
imPk_MODIfied,Nation First Pinku,9607.19642857143
prettypadmaja,Padmaja,8910.345238095246
EconomicTimes,EconomicTimes,8794.202380952382
priyapyadav18,Priya Yadav,7533.196797646775
academic_dud,Geekology,7338.863464313441
LillyMaryPinto,Lilly Mary Pinto,7162.224000999001
sanjayuvacha,SANJAY HEGDE,7128.282331557334
Raajshre,Raajshree,6987.0119047619055
UnsubtleSanghi,RAJESH BAGRI 🇮🇳,6390.479761904761
LangaMahesh,Mahesh Langa,6283.558788433775
