ScreenName,UserName,bet_centrality
LegalKant,रवि कांत,7939.0
IndiaToday,India Today,7261.0
DailyO_,DailyO,6592.5
DilliDurAst,Shivam Vij,6548.0
MehrTarar,Mehr Tarar,5916.5
imPk_MODIfied,Nation First Pinku,2800.416666666667
Thesureshsharma,Suresh Saraswat,1303.0
kiran_patniak,kiran patnaik,996.0
republic,Republic,990.0
OriginalAnmol,Anmol 🇮🇳,984.0
geetv79,Geet V,969.0833333333334
alamgirizvi,Alamgir Rizvi,945.8333333333334
Reema_bjp,Reema Kaur Ahluwalia,904.7
prettypadmaja,Padmaja,901.8333333333334
LillyMaryPinto,Lilly Mary Pinto,886.8333333333334
kapsology,Kapil,813.5
Abhina_Prakash,Abhinav Prakash,783.0
Mausam1975,Mausam,748.5
Engihumor,The Engineer,707.5
dinesh_chawla,दिनेश CHAWLA / DINESH चावला,673.0
YourGalNeha,Neha,640.4166666666667
jaiprakashshah2,Jai Prakash Shah,621.2
Rudra_Aksh09,SuryaVanshi,584.1166666666667
NRIcat,💕Farzana Qureshi💃🏻,540.0
AjaySengupta3,Ajay Sengupta,521.0833333333333
Ramesh_BJP,Ramesh,496.0
CaptAssamRegt,Santosh Behura,478.5
kukk44,kukki44,460.5833333333333
academic_dud,Geekology,444.5
UnsubtleSanghi,RAJESH BAGRI 🇮🇳,428.0
Satyanewshi,Chayan Chatterjee,416.0
AkhterH007007,INC akhter,391.5
Aban__Ind,অবান,350.0
Sootradhar,Jiggs 🇮🇳,346.0
HinduDharma1,Sanatan Dharma,331.0
priyaakulkarni2,Priya Kulkarni,328.0
Swamy39,Subramanian Swamy,310.5
jyotsnavarma9,Jyotsna Varma,300.5
ajitbhinder,Col Ajit Bhinder,289.5
DickDarryl,Darryl Dick,274.5833333333333
gops333,Gopi Shah ..,251.5
Speakwithsence1,Speakwithsense,250.0
IndianExpress,The Indian Express,238.0
EconomicTimes,EconomicTimes,227.0
pathan_modassar,I'm Tipu Sultan,226.5
harshkkapoor,Harsh K. Kapoor,223.5
panditsripathak,Pandit Dinesh Pathak,216.0
macharajarao,M. S. Srinivasa Rao,209.0
INCdilse,🇮🇳 and ✋ FOREVER!!,189.5
midhatkidwai,Midhat Kidwai,189.0
