ScreenName,UserName,closeness_centrality
DhanrajDara1,Dhanraj Dara,1.0
DeviRangwa,Indrawati Devi Rangwa,1.0
Maheshsisodia10,Maheshsisodia,1.0
sairamalikpk,Saira Malik,1.0
Fahadnaeem_,Fahad Naeem,0.6666666666666666
sharmayogendr22,yogendra kumarsharma,0.6666666666666666
RightNowApp,Right Now,0.6666666666666666
sksurana_jantv,SK Surana,0.6666666666666666
narendramodi,Narendra Modi,0.4945158850226929
PMOIndia,PMO India,0.4849077984959308
arunjaitley,Arun Jaitley,0.46621501158851847
SrBachchan,Amitabh Bachchan,0.46507262128248195
AmitShah,Amit Shah,0.46399984227751273
SushmaSwaraj,Sushma Swaraj,0.46335124918788023
realDonaldTrump,Donald J. Trump,0.46285006293266207
ANI,ANI,0.4624680683827864
Swamy39,Subramanian Swamy,0.46174220129487936
RahulGandhi,Rahul Gandhi,0.46135298845392353
BarackObama,Barack Obama,0.46034229828850853
BJP4India,BJP,0.46011730205278595
rajnathsingh,राजनाथ सिंह,0.4594884810620851
rashtrapatibhvn,President of India,0.45819137545020927
smritiirani,Smriti Z Irani,0.4574432933584715
timesofindia,Times of India,0.4569370558769852
TimesNow,TIMES NOW,0.454932054974581
ArvindKejriwal,Arvind Kejriwal,0.454598134090514
BDUTT,barkha dutt,0.45306664613252223
ndtv,NDTV,0.4521613832853026
PiyushGoyal,Piyush Goyal,0.4513203060578749
AnupamPKher,Anupam Kher,0.45097438059286793
IndianExpress,The Indian Express,0.4504392428563226
KanchanGupta,Kanchan Gupta,0.45037890385793017
sardesairajdeep,Rajdeep Sardesai,0.44922695170834126
ShashiTharoor,Shashi Tharoor,0.4491069384016487
htTweets,Hindustan Times,0.4491069384016487
manoharparrikar,Manohar Parrikar,0.44889278834232965
sachin_rt,Sachin Tendulkar,0.4486788424143059
IndiaToday,India Today,0.44850783245035636
RakeshSinha01,Prof Rakesh Sinha,0.4476547342793016
akshaykumar,Akshay Kumar,0.4473654197080292
virendersehwag,Virender Sehwag,0.44728039834277245
thekiranbedi,Kiran Bedi,0.44715292687097447
the_hindu,The Hindu,0.4462965069973831
imVkohli,Virat Kohli,0.4456964302622858
rahulkanwal,Rahul Kanwal,0.4455276857548509
adgpi,ADG PI - INDIAN ARMY,0.445460223723809
ShekharGupta,Shekhar Gupta,0.4449380848851498
rwac48,Lt Gen H S Panag(R),0.44485398355542954
BBCBreaking,BBC Breaking News,0.4443248753964658
nsitharaman,Nirmala Sitharaman,0.44232901685868403
