ScreenName,UserName,Closeness_centrality
majid_mehmud,Majid,1.0
mughalbha,Aamir Mughal,1.0
dr_maheshsharma,Dr. Mahesh Sharma,1.0
erpawanbjp,Er. Pawan Mishra,1.0
bdnews24,#Bangladesh News 24 (#BreakingNews 24),1.0
BILDERBERG_GP,Peter Jeffries #STANDUP4BREXIT,1.0
namiashok,Ashok Raut,1.0
KeertiJoshi,Keertivardhan Joshi,1.0
SaikedarnathN,KN Bhagat,1.0
LimSofi,Lim So Fi,1.0
realmqasim,Muhammad Qasim,1.0
MMjavaida,MJA,1.0
NAR,Nikkei Asian Review,1.0
nicko00127,Nick Clark,1.0
spectatorindex,The Spectator Index,1.0
dylanskorish,dylan v. skorish,1.0
RedKahina,Яed Kahina,1.0
mehartweets,Gurmehar Kaur,1.0
iMoinTweets,Moin™ ✨ ✪,1.0
ArvindKejriwal,Arvind Kejriwal,1.0
Maheshsisodia10,Maheshsisodia,1.0
tolethorpe,peter wilkinson,1.0
Manjula1stindia,Manjula.shaha,1.0
AryanDevKala2,मिशन 2019🌷,1.0
BJP4India,BJP,1.0
AmitShah,Amit Shah,1.0
sidtripathii,Siddhartha Tripathi,1.0
thepolicytimes,The Policy Times,1.0
AngelaTange65,Bram Kletsio ❌🇨🇦🐀I❤️🐂,1.0
Hihitu76,Himanshu,1.0
CBCPolitics,CBC Politics,1.0
Manzoor65096707,Manzoor Ahmed,1.0
mahafuj,Mahafuj Ali,1.0
sakshinews,Sakshi News,1.0
StevePeers,Steve Peers,1.0
sharmayogendr22,yogendra kumarsharma,1.0
clraindia,CLRA,1.0
m_azamjamil,Sunny,1.0
tarundalaya,Tarun Dalaya,1.0
politics_lover1,ماجد,1.0
sengarlive,Gaurav singh sengar,1.0
SumeetBains,Sumeet Bains,1.0
MdSamimAktarCh3,Md Samim Aktar Chowdhury,1.0
MrPoll8,Mr.Poll,1.0
viewsfromleft,Views from the Left ⬅️❄️ #FBPE #PeoplesVote,1.0
Delhipostnews,Delhi Post,1.0
AdriennedeWolfe,Adrienne deWolfe,1.0
Sandeep69131907,Sandeep,1.0
HartoshSinghBal,Hartosh Singh Bal,1.0
RanjitKhalra25,Ranjitsinghkhalra,1.0
