ScreenName,UserName,score
shaktisinha,shakti sinha,37.9166815
HappymonJacob,Happymon Jacob,27.417575
Akshayamukul,Akshaya Mukul,25.352890999999996
_NAN_DINI,Nandini,22.487464499999998
ArmchairPseph,ArmchairPseph,21.813669499999992
Sanju_Verma_,Sanju Verma,21.778360500000005
UnamPillai,Manu S Pillai,21.168239000000003
narendramodi,Narendra Modi,20.731067
rchops,Rohit Chopra,20.624952999999998
KanchanGupta,Kanchan Gupta,20.544933999999994
write2kill,Subir Ghosh,20.282768500000003
singhsahana,Sahana Singh,20.129980999999997
khalidbshah,Khalid Shah,19.350148500000007
rahultripathi,rahul tripathi,19.278638
YusufDFI,Yusuf Unjhawala 🇮🇳,19.036184000000002
DilliDurAst,Shivam Vij,18.586686999999998
Drsunandambal,Dr Sunanda Bal,18.138907000000003
gauravbjp4india,Gaurav Mahajan,17.981912
meenakshisharan,Meenakshi Sharan,17.343842500000004
a_truthsayer,Truthsayer,17.305975000000007
PMOIndia,PMO India,16.6837665
sunitarora,Sunit Arora,16.425349499999996
NarenMenon1,Naren Ramakrishna,16.394494500000004
mnshzz,...,16.267895499999998
khatvaanga,Shashank,15.185191
EvilYindoo,Evil Yindoo,14.263603999999997
SamKhan999,Sameer Khan,14.1982645
india131979,Sandeep Gandotra,14.120225999999997
ranganaathan,रंगा - ரங்கா,13.8609335
GeorgekurianINC,George Kurian,13.829313500000001
HatindersinghR,☬ SINGH ਸਿੰਘ ☬ 🇮🇳,13.7612965
seemamustafa,seemamustafa,13.704142500000001
SauravDatta29,Saurav Datta,13.554984499999998
RuchikaTalwar,Ruchika Talwar,13.538511499999998
saileenas,Saileena,13.357665500000003
Neelnabh,Rajesh Kumar Singh,13.338361999999996
VandanaJayrajan,ѵαɳ∂αɳα🇮🇳,13.167120999999996
IndiainNewYork,India in New York,13.105368499999999
kkhushal9,Col Dinesh Kumar,13.039195999999999
r0h1n,Rohin Dharmakumar,12.563833500000001
CongressDahan,#CongressMuktBharat,12.3104655
KPCCPresident,KPCC President,12.231831999999999
AnaMyID,Divya (Anamika's sister),11.930821500000002
ProsaicView,Prosenjit Datta,11.7697295
RahulGandhi,Rahul Gandhi,11.6998
kayjay34350,Lt Gen K J Singh,11.592062499999997
pragyakaushika,Pragya Kaushika,11.536795499999997
LegalKant,रवि कांत,11.454235
Tsunami2388,PAVAN DAHAT,11.180789999999996
Darkwyr,Jeanette Rodrigues,11.008172
