ScreenName,UserName,score
bad_indian_girl,bad indian girl,7.2911985
satirist_indian,Jim,6.0268235
indian_politics,Blame It On Rio🐦,1.8719724999999998
IMA_Indian,IMA,1.6362759999999998
politics_is_lyf,பேட்ட தலைவன் ✝,1.2397680000000002
infobusket,Info Busket,0.96039
Firojkh57781644,Firoj.khan,0.940024
Shahzebalvi4,รɦαɦƶεɓ αℓѵเ,0.8910895
SocialMediaBJP1,Social Media BJP,0.8400894999999999
Fight_For_India,Nitin,0.804619
prayag,#PrayagRaj,0.785732
lop_india,India LoP,0.715675
Yogi210875,योगेश अग्रवाल,0.6792864999999999
pink_indian_,pink indian,0.66
cprd_india,Political Res. Centr,0.6431445
JaiPrakashAga18,Jai Prakash Agarwal,0.6139895
kiran_patniak,kiran patnaik,0.602183
Divya_India_ask,⏳#AnnonymousVOICE,0.5745495
HinduNatl,Hindu NationalIst,0.565174
soilditem,Solid Item,0.547953
shrieas,shriram iyer,0.5458025000000001
India_with_RG,IndiaNeedsRahulGandhi,0.535577
GeeGaja,Gaja,0.5325
bpj_india,सशक्त भारत,0.5236685000000001
NJCP_INDIA,Ashwin Mane. 🇮🇳,0.519359
Forgoten_Indian,Anonymous,0.5137320000000001
zak_india,Zak Indian,0.5113435
JigneshWaghela,Jignesh Waghela,0.4909605
GubbannaG,Gubbanna G,0.48627699999999996
drsatish0380,DR SATISH SINGH,0.4771565
PinakKanungo,pinak s p kanungo,0.476434
_prettywitty,Witty,0.470773
Blooming_India,समृद्ध भारत,0.4705775
SnghAP,Ajay  Singh 🇮🇳🕉,0.469532
Politics_NYY,CJ D,0.46875
rajivnayan7,राजीव नयन🇮🇳,0.46801050000000005
1Mdkhan,M.Danish Khan,0.46512900000000007
iamcongressi1,Jai Hind,0.4638455
SaritaTanwani,Sarita Tanwani,0.45930650000000006
JuvvaPramila,PramilaJuvva,0.45217500000000005
kurubakristappa,కురుబ క్రిష్టప్ప,0.43595700000000004
VenkataRamanaJu,VenkataRamanaJuvva,0.43487750000000003
Indian_Liars,Informed Indians ⚔ VOTE,0.42574
BrightDays19,IndiaFirst,0.423972
surendra4714,surendra Singh,0.4219915
ARDMEHRA1966,🇮🇳A.R.D. Mehra,0.41645800000000005
Jagadish_999,Jagadeesh paruchuree,0.4129645
seemamustafa,seemamustafa,0.408451
sp_dash68,Sweta_Entomon,0.4080175
JazzibaeNazar,High Priestess,0.407074
