UserName,ScreenName,Tweets_Mentions,retweets_obtained,Total,Ratio
Rahul Gandhi,RahulGandhi,1020,305924,3977,77.17978375660046
Vinod Dua,DuaVinod_,1,536,12,44.75
Priya Singh,iampriyasinghji,1,71,2,36.0
Yashwant Sinha,YashwantSinha,8,4692,156,30.128205128205128
Matthew Yglesias,mattyglesias,3,1206,66,18.318181818181817
پاک فوج,qari_,2,2231,207,10.78743961352657
Daniel Powell,danieljpowell,2,69070,6901,10.008984205187653
Imran Khan,ImranKhanPTI,163,47227,5654,8.381676689069685
Prashant Kishor,PrashantKishor,4,87,12,7.583333333333333
Arun Jaitley,arunjaitley,397,21429,2924,7.464432284541724
Sweta Singh,SwetaSinghAT,4,5587,762,7.337270341207349
Terrence K. Williams,w_terrence,1,19242,2731,7.046136946173563
Amit Shah,AmitShah,150,46781,7348,6.386908002177464
Pawan Kalyan,PawanKalyan,5,4132,789,5.243346007604563
Maj Gen Asif Ghafoor,OfficialDGISPR,3,2387,458,5.218340611353712
M.J. Akbar,mjakbar,9,5422,1067,5.089971883786316
Narendra Modi,narendramodi,4176,95330,21283,4.6753747122116245
Ron DeSantis,RonDeSantisFL,1,7855,1702,4.615746180963573
Jeff Giesea🌿,jeffgiesea,1,429,100,4.3
Kapil Sibal,KapilSibal,4,2699,661,4.0892586989409985
Kanhaiya Kumar,kanhaiyakumar,138,3119,856,3.8049065420560746
Tucker Carlson,TuckerCarlson,1,13210,3942,3.3513444951801117
History Of India,ReaIHistoryPic,1,435,138,3.1594202898550723
Jignesh Mevani,jigneshmevani80,9,5374,1757,3.0637450199203187
தமிழருவி மணியன்,ThamizharuviM,2,175,59,3.0
Akhilesh Yadav,yadavakhilesh,17,5425,1866,2.9163987138263665
Sash,sashbv,1,5148,1916,2.6873695198329854
Jesse Kelly,JesseKellyDC,2,4910,2100,2.3390476190476193
Arvind Kejriwal,ArvindKejriwal,445,59672,26711,2.250645801355247
Twitter,Twitter,36,17182,8001,2.1519810023747032
Secretary Pompeo,SecPompeo,3,965,464,2.086206896551724
António Guterres,antonioguterres,68,1430,720,2.0805555555555557
Dhruv Rathee,dhruv_rathee,7,5094,2499,2.041216486594638
Arek,AKingWasHere,1,18502,9075,2.0388980716253444
Michael Avenatti,MichaelAvenatti,2,5561,2739,2.0310332238043083
Yatish_StrongerMe,Yatish_Tweet,1,1,1,2.0
Kunal Kamra,kunalkamra88,5,5644,2920,1.9345890410958904
julien bouissou,jubouissou,7,6466,3363,1.9247695509961344
Varun Gandhi,varungandhi80,3,1130,617,1.8363047001620745
Ahmed Bin Qasim,AahmedBinQasim,2,60,35,1.7714285714285714
Donald J. Trump,realDonaldTrump,29,67489,39656,1.702592293726044
Vikas Kumar,VikasKu75723923,8,9,10,1.7
Sanskritik Gaurav Sansthan,sgsansthan,1,109,65,1.6923076923076923
Thomas Sowell,ThomasSowell,1,2929,1736,1.6877880184331797
"Alexander Soros, PhD",AlexanderSoros,1,2793,1686,1.6571767497034402
INDIAN ARMY,iAadiRaj,1,1197,726,1.6501377410468319
M N Singh IPS (Retd),mnsingh91666644,4,4,5,1.6
Joern Rohde,joern_rohde,1,100,65,1.5538461538461539
Hamza Ali Abbasi,iamhamzaabbasi,2,3909,2548,1.5349293563579278
Vijay Kumar Hansdak,HansdakVijay,24,26,34,1.4705882352941178
