ScreenName,UserName,retweets
RahulGandhi,Rahul Gandhi,305924
narendramodi,Narendra Modi,95330
danieljpowell,Daniel Powell,69070
realDonaldTrump,Donald J. Trump,67489
ArvindKejriwal,Arvind Kejriwal,59672
Swamy39,Subramanian Swamy,51661
ImranKhanPTI,Imran Khan,47227
AmitShah,Amit Shah,46781
INCIndia,Congress,32905
Gurmeetramrahim,"",32147
sardesairajdeep,Rajdeep Sardesai,29844
divyaspandana,Divya Spandana/Ramya,24881
ShefVaidya,Shefali Vaidya,21988
arunjaitley,Arun Jaitley,21429
w_terrence,Terrence K. Williams,19242
sardanarohit,रोहित सरदाना,19169
AKingWasHere,Arek,18502
Twitter,Twitter,17182
CNN,CNN,16549
AsteadWesley,Astead,16243
PMOIndia,PMO India,15900
benshapiro,Ben Shapiro,14224
ANI,ANI,13729
ChouhanShivraj,ShivrajSingh Chouhan,13630
mvmeet,Mahesh Vikram Hegde,13536
TuckerCarlson,Tucker Carlson,13210
chelseahandler,Chelsea Handler,12963
juliaioffe,Julia Ioffe,12756
BJP4India,BJP,12199
KrisParonto,Kris Paronto,11657
ZeeNewsHindi,Zee News Hindi,11643
DrGPradhan,#GauravPradhan 🇮🇳,11607
HamidMirPAK,Hamid Mir,11589
priyagupta999,Priya Gupta,10608
RealJamesWoods,James Woods,10427
priyankac19,Priyanka Chaturvedi,10018
TheEconomist,The Economist,9239
KapilMishra_IND,Kapil Mishra,9173
Ram_Guha,Ramachandra Guha,8655
Shehla_Rashid,Shehla Rashid,8545
pbhushan1,Prashant Bhushan,8449
ShashiTharoor,Shashi Tharoor,8305
ippatel,प्रशान्त पटेल उमराव,8281
yashar,Yashar Ali 🐘,8196
MinhazMerchant,Minhaz Merchant,8077
sgurumurthy,S Gurumurthy,7934
ShivAroor,Shiv Aroor,7914
Shehzad_Ind,Shehzad Jai Hind,7879
RonDeSantisFL,Ron DeSantis,7855
kylegriffin1,Kyle Griffin,7847
